Sample	Total number of single-base substitutions
BT16_doxorubicin	259
PEDS0005_T1_doxorubicin	225
CHLA-06-ATRT_doxorubicin	754
PEDS9001_T1_doxorubicin	200
HepG2_doxorubicin_clone1	2816
HepG2_doxorubicin_clone2	475
MCF10A_doxorubicin_clone1	279
MCF10A_doxorubicin_clone2	295
