Doxorubicin signature	SBS1	SBS2	SBS5	SBS13	SBS18	SBS37	SBS40b	SBS100	SBS102
SBS-Doxorubicin-1	0	72	1202	147	747	0	625	0	0
SBS-Doxorubicin-2	127	0	4225	0	0	2408	0	1660	926
